source,name,slug,category,min_price_per_unit,max_price_per_unit,unit,trend_30d_percent,vendor_count,in_stock_count,size_min,size_max,display_sizes,synonyms,detail_url
peptidecritic,Wolverine,wolverine,Healing,2.6,52.5,mg,-24.4,60,52,2.0,200.0,5–50mg +11 other sizes,bpc-157 + thymosin β4; bpc-157 / tb4 blend; bpc-157 / tb500; bpc-157 / tb4; bpc-157 / tb5 frag,https://peptidecritic.com/peptides/wolverine
peptidecritic,AOD-9604,aod-9604,Weight Loss,4.5,70.0,mg,37.2,59,47,2.0,10.0,2–10mg,hgh fragment 177–191 analog; tyr-hgh(177–191),https://peptidecritic.com/peptides/aod-9604
peptidecritic,CJC-1295 + Ipamorelin,cjc-1295-ipamorelin,Growth Hormone,3.85,30.0,mg,0.9,33,26,1.0,20.0,5–12mg +4 other sizes,cjc/ipa; cjc/ipa blend; cjc/ipam combo; mod-grf + ipamorelin; cjc & ipa; cjc ipa; cjc ipa blend; cjc-1295 ipamorelin,https://peptidecritic.com/peptides/cjc-1295-ipamorelin
peptidecritic,5-Amino-1MQ,5-amino-1mq,Weight Loss,0.03,12.6,mg,3.6,42,36,5.0,1500.0,5–50mg +5 other sizes,5-amino-1-methylquinolinium iodide; 5-amino-1mq; 5-amino-1-methylquinolinium iodide,https://peptidecritic.com/peptides/5-amino-1mq
peptidecritic,Glow,glow,Healing,0.67,8.8,mg,-7.0,51,44,2.0,90.0,25–80mg +8 other sizes,glow blend; ghk-cu/bpc-157/tb500,https://peptidecritic.com/peptides/glow
peptidecritic,Semax,semax,Cognition,0.55,11.0,mg,2.2,70,59,1.0,100.0,5–30mg +3 other sizes,acth(4–10) analog,https://peptidecritic.com/peptides/semax
peptidecritic,Selank,selank,Cognition,2.42,10.4,mg,0.9,76,63,2.0,30.0,5–10mg +8 other sizes,tuftsin analog; tp-7,https://peptidecritic.com/peptides/selank
peptidecritic,Cagrilintide,cagrilintide,Weight Loss,6.48,22.0,mg,4.6,46,38,2.4,200.0,5–10mg +5 other sizes,am833; nn0174-0833; long-acting amylin analogue,https://peptidecritic.com/peptides/cagrilintide
peptidecritic,TB-500,tb-500,Healing,1.2,15.0,mg,7.6,71,61,0.1,100.0,5–10mg +13 other sizes,thymosin β4 acetate; tβ4,https://peptidecritic.com/peptides/tb-500
peptidecritic,PT-141,pt-141,Sexual Health,0.48,15.8,mg,-1.2,76,63,1.75,100.0,10mg +8 other sizes,bremelanotide; vyleesi,https://peptidecritic.com/peptides/pt-141
